case_id,factor,epoch_utc,altitude_km,inclination_deg,duration_hours,model_id,role,eligible_candidate,maximum_position_difference_m,maximum_velocity_difference_mm_s,final_position_difference_m,final_velocity_difference_mm_s,maximum_radial_position_difference_m,maximum_along_track_position_difference_m,maximum_cross_track_position_difference_m,maximum_radial_velocity_difference_mm_s,maximum_along_track_velocity_difference_mm_s,maximum_cross_track_velocity_difference_mm_s,position_gate_m,velocity_gate_mm_s,position_gate_passed,velocity_gate_passed,pole_separation_from_baseline_start_arcsec,pole_separation_from_baseline_end_arcsec,runtime_seconds
B07_EPOCH_JUL_400KM_I51P6_24H,epoch,2026-07-01T00:00:00Z,400.0,51.6,24.0,j2000_fixed,ablation_static_axis,False,3174.367357560439,3671.986782192485,3168.8281041244804,3511.760413930337,41.90029609400342,2955.5169182945524,1444.269320339996,3341.9629269656575,41.36948258328349,1662.2682488813007,20.0,20.0,False,False,534.3991862961478,534.4924325730219,1.780367000028491
B07_EPOCH_JUL_400KM_I51P6_24H,epoch,2026-07-01T00:00:00Z,400.0,51.6,24.0,iau1976_precession,ablation_precession_without_nutation,False,119.96011968949377,134.0187391751413,119.96011968949377,134.0187391751413,1.3755918137139476,118.82965197245024,16.38773998954209,133.96873113916678,1.4483569508736271,18.65005195303158,20.0,20.0,False,False,8.20519440623707,8.257896174317944,18.95844489999581
B07_EPOCH_JUL_400KM_I51P6_24H,epoch,2026-07-01T00:00:00Z,400.0,51.6,24.0,iau1976_1980,closed_1b_validation_baseline,False,4.048156408419207,4.565567482185223,4.048156408419207,4.565567482185223,0.09495324051687752,4.047616079792623,0.2862206090579124,4.565061358829954,0.08573303674056698,0.3312554795868133,20.0,20.0,True,True,0.0,0.0,19.325010299973655
B07_EPOCH_JUL_400KM_I51P6_24H,epoch,2026-07-01T00:00:00Z,400.0,51.6,24.0,iau2000a,exploratory_modern_orientation_candidate,True,4.4543098800874,5.022791495890586,4.4543098800874,5.022791495890586,0.09985275241855557,4.451752983203495,0.19877725789735737,5.021444023054535,0.09087351078082072,0.23394095427613879,20.0,20.0,True,True,0.04830518197750322,0.04820729903603629,21.59529200004181
B07_EPOCH_JUL_400KM_I51P6_24H,epoch,2026-07-01T00:00:00Z,400.0,51.6,24.0,iau2006_2000a,exploratory_modern_orientation_candidate,True,4.456918485973526,5.025722428535811,4.456918485973526,5.025722428535811,0.09988204575205593,4.45434828999283,0.19849742399724504,5.02437133457014,0.09090468163446419,0.23364550712211862,20.0,20.0,True,True,0.0485976479108746,0.048500355224879096,22.97347839997383
B08_EPOCH_OCT_400KM_I51P6_24H,epoch,2026-10-01T00:00:00Z,400.0,51.6,24.0,j2000_fixed,ablation_static_axis,False,3204.8739199811143,3707.307951133876,3199.4897297207385,3545.359575127495,42.31700818223957,2983.9541937868785,1458.2943531133644,3374.082890529189,41.78798312765174,1678.3878165471103,20.0,20.0,False,False,539.4462767819413,539.5383725181548,1.892971400055103
B08_EPOCH_OCT_400KM_I51P6_24H,epoch,2026-10-01T00:00:00Z,400.0,51.6,24.0,iau1976_precession,ablation_precession_without_nutation,False,121.6257921027096,135.7503833056623,121.6257921027096,135.7503833056623,1.4009796310047278,120.40589746928966,17.140971351666188,135.7086941111347,1.4884581272272916,19.45900463613925,20.0,20.0,False,False,8.838467466517528,8.812879759021312,19.98663930001203
B08_EPOCH_OCT_400KM_I51P6_24H,epoch,2026-10-01T00:00:00Z,400.0,51.6,24.0,iau1976_1980,closed_1b_validation_baseline,False,3.1890491393943368,3.615345683402278,2.711585502626179,3.0851391071628433,0.05905289839635804,3.1881171455112036,0.3406598644140796,3.6151090987111765,0.05254577454128735,0.389834885058618,20.0,20.0,True,True,0.0,0.0,20.220234400010668
B08_EPOCH_OCT_400KM_I51P6_24H,epoch,2026-10-01T00:00:00Z,400.0,51.6,24.0,iau2000a,exploratory_modern_orientation_candidate,True,2.8885819150704,3.2706016565034135,2.3090792247332095,2.6280203057990583,0.05874991844232705,2.888005417310462,0.2804868842302595,3.2705454876600166,0.052555623068862765,0.32269341862550777,20.0,20.0,True,True,0.050690864503642435,0.050504157185987,22.68913309997879
B08_EPOCH_OCT_400KM_I51P6_24H,epoch,2026-10-01T00:00:00Z,400.0,51.6,24.0,iau2006_2000a,exploratory_modern_orientation_candidate,True,2.8867116078114265,3.268438266721553,2.3064747914615187,2.62505812259105,0.05874866231828974,2.886130420592267,0.28028023998726137,3.2683846033418846,0.05255300822709566,0.3224489556268773,20.0,20.0,True,True,0.05087688664989626,0.050690864503642435,21.717134200036526
B09_DURATION_6H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,6.0,j2000_fixed,ablation_static_axis,False,810.308930327009,909.0695525111903,753.0703557284465,909.0695525111903,41.00936401948062,748.0633321987331,335.0838369828156,825.699683318114,40.489830459199,384.1206339398511,5.0,5.0,False,False,523.3314053307266,523.3645465944392,0.4855741999926977
B09_DURATION_6H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,6.0,iau1976_precession,ablation_precession_without_nutation,False,27.88479798694668,31.451487375450984,27.88479798694668,31.451487375450984,1.223690082070552,27.854012144121434,3.3327634699316375,31.209576478949632,1.313572296007012,4.071374588746117,5.0,5.0,False,False,8.342189630767091,8.338206498306949,5.888158300018404
B09_DURATION_6H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,6.0,iau1976_1980,closed_1b_validation_baseline,False,1.67615489225893,1.8965451040511585,1.67615489225893,1.8965451040511585,0.06983550352068871,1.6752966215987444,0.13862438618279876,1.8902846337759813,0.06279629546331306,0.16316981141735656,5.0,5.0,True,True,0.0,0.0,5.099939899984747
