case_id,factor,epoch_utc,altitude_km,inclination_deg,duration_hours,model_id,role,eligible_candidate,maximum_position_difference_m,maximum_velocity_difference_mm_s,final_position_difference_m,final_velocity_difference_mm_s,maximum_radial_position_difference_m,maximum_along_track_position_difference_m,maximum_cross_track_position_difference_m,maximum_radial_velocity_difference_mm_s,maximum_along_track_velocity_difference_mm_s,maximum_cross_track_velocity_difference_mm_s,position_gate_m,velocity_gate_mm_s,position_gate_passed,velocity_gate_passed,pole_separation_from_baseline_start_arcsec,pole_separation_from_baseline_end_arcsec,runtime_seconds,eop_start_coverage_status,eop_end_coverage_status
B07_EPOCH_JUL_400KM_I51P6_24H,epoch,2026-07-01T00:00:00Z,400.0,51.6,24.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,4.048156408419207,4.565567482185223,4.048156408419207,4.565567482185223,0.09495324051687752,4.047616079792623,0.2862206090579124,4.565061358829954,0.08573303674056698,0.3312554795868133,20.0,20.0,True,True,0.0,0.0,33.06722740002442,exact_source_row,exact_source_row
B07_EPOCH_JUL_400KM_I51P6_24H,epoch,2026-07-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,4.273764347694914,4.833060362260694,4.273764347694914,4.833060362260694,0.0799511836753445,4.273542540560605,0.22865284462678,4.832896217591906,0.07011316610212959,0.26438533400572906,20.0,20.0,True,True,0.21589611058196215,0.21692195846507364,45.04457819997333,exact_source_row,exact_source_row
B07_EPOCH_JUL_400KM_I51P6_24H,epoch,2026-07-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_y_only,polar_motion_y_ablation,False,0.6222159595778627,0.6903590391002974,0.22625803315187834,0.2687731934605984,0.03138105943762973,0.6172175230747257,0.19318312011701222,0.6837957985223954,0.03233774063639783,0.22125195075547602,20.0,20.0,True,True,0.4210811623313592,0.4201603234205701,43.5356693000067,exact_source_row,exact_source_row
B07_EPOCH_JUL_400KM_I51P6_24H,epoch,2026-07-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_full,exact_tagged_eop_candidate,True,0.005245411433842615,0.005931833417230466,0.0007899840929125801,0.0008941137146575687,0.00024360595873581565,0.005244784216469395,3.6428595361472474e-05,0.005931167344566727,0.00026888298322320724,4.302759486942819e-05,20.0,20.0,True,True,0.4732123442602798,0.4728828334987678,43.17994289996568,exact_source_row,exact_source_row
B08_EPOCH_OCT_400KM_I51P6_24H,epoch,2026-10-01T00:00:00Z,400.0,51.6,24.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,3.1890491393943368,3.615345683402278,2.711585502626179,3.0851391071628433,0.05905289839635804,3.1881171455112036,0.3406598644140796,3.6151090987111765,0.05254577454128735,0.389834885058618,20.0,20.0,True,True,0.0,0.0,33.39085269998759,clamped_after_source_range,clamped_after_source_range
B08_EPOCH_OCT_400KM_I51P6_24H,epoch,2026-10-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,0.9718555634924427,1.0797498158194379,0.3854658989550598,0.4553649166211268,0.0475268710974457,0.9659737781623188,0.29187636919720467,1.0702472046143692,0.04874500110636058,0.33445791516226897,20.0,20.0,True,True,0.22978004000889557,0.22975948263555904,37.82473140000366,clamped_after_source_range,clamped_after_source_range
B08_EPOCH_OCT_400KM_I51P6_24H,epoch,2026-10-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_y_only,polar_motion_y_ablation,False,2.331275265454922,2.636219941602099,2.331275265454922,2.636219941602099,0.04379175891146533,2.331151453130048,0.12363317433946808,2.6361273590628693,0.03839125285886769,0.14296353291397731,20.0,20.0,True,True,0.32649518783461057,0.3265096546883224,37.644547900010366,clamped_after_source_range,clamped_after_source_range
B08_EPOCH_OCT_400KM_I51P6_24H,epoch,2026-10-01T00:00:00Z,400.0,51.6,24.0,gmat_r2026a_eop_full,exact_tagged_eop_candidate,True,0.0049416684121685,0.005593644608425796,0.0035828110407072123,0.004055656690011809,0.00029272911086907866,0.004941666161522389,2.23897870642736e-05,0.005593635443914979,0.00031989635338332815,2.5024963035427147e-05,20.0,20.0,True,True,0.39925858962732313,0.39925858962732313,37.04986239998834,clamped_after_source_range,clamped_after_source_range
B09_DURATION_6H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,6.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,1.67615489225893,1.8965451040511585,1.67615489225893,1.8965451040511585,0.06983550352068871,1.6752966215987444,0.13862438618279876,1.8902846337759813,0.06279629546331306,0.16316981141735656,5.0,5.0,True,True,0.0,0.0,8.590094699990004,exact_source_row,interpolated_between_source_rows
B09_DURATION_6H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,6.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,1.4444480129022566,1.6405686117366982,1.4444480129022566,1.6405686117366982,0.0612136216134347,1.443887339387586,0.1681402446567995,1.6285183568773565,0.05558471145113855,0.198610734888203,5.0,5.0,True,True,0.11052092430907205,0.11026419707662305,10.808269899978768,exact_source_row,interpolated_between_source_rows
B09_DURATION_6H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,6.0,gmat_r2026a_eop_y_only,polar_motion_y_ablation,False,0.2454704101804729,0.26785858441706334,0.23396923392467872,0.26674110538735685,0.013637802999914269,0.24148968576182847,0.04425161243238583,0.2659737821936297,0.014239065300379201,0.04701133330532654,5.0,5.0,True,True,0.3311921682761064,0.33152003199598074,10.4705197000294,exact_source_row,interpolated_between_source_rows
B09_DURATION_6H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,6.0,gmat_r2026a_eop_full,exact_tagged_eop_candidate,True,0.005057122403864437,0.005721125197827455,0.0010872090948390377,0.0012318405848366378,0.00023316633825568896,0.0050571201675514935,1.1684042412862871e-05,0.0057211245447982345,0.0002565423019777786,1.2173618971333407e-05,5.0,5.0,True,True,0.34913275428128454,0.3493897132101968,10.884383799973875,exact_source_row,interpolated_between_source_rows
B10_DURATION_72H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,72.0,iau1976_1980,closed_1b_baseline_without_polar_motion,False,9.576983256086432,10.825427804204875,9.576983256086432,10.825427804204875,0.07237080788007468,9.57686478884873,0.1973699140641449,10.825277602517488,0.06279629546331306,0.2338906847992752,100.0,50.0,True,True,0.0,0.0,98.78699120000238,exact_source_row,exact_source_row
B10_DURATION_72H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,72.0,gmat_r2026a_eop_x_only,polar_motion_x_ablation,False,10.03697727494056,11.352152172229124,10.036371840301088,11.351708140838152,0.06623458145327493,10.03684615487075,0.17794025350504222,11.352095339409654,0.05558471145113855,0.21018426171028137,100.0,50.0,True,True,0.11052092430907205,0.10678220410987099,133.64944980002474,exact_source_row,exact_source_row
B10_DURATION_72H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,72.0,gmat_r2026a_eop_y_only,polar_motion_y_ablation,False,0.6910941124935424,0.7751257371494278,0.4592499284992735,0.5264170213546682,0.016104028406039077,0.6902556028077816,0.09861270968152593,0.7728400789310713,0.016442705576451836,0.1130512107855795,100.0,50.0,True,True,0.3311921682761064,0.3345269493283776,131.74201659997925,exact_source_row,exact_source_row
B10_DURATION_72H_400KM_I51P6_JAN,duration,2026-01-01T00:00:00Z,400.0,51.6,72.0,gmat_r2026a_eop_full,exact_tagged_eop_candidate,True,0.006680147228529311,0.007558496964235116,0.00033752614451187593,0.00032979865002325583,0.00023316633825568896,0.006679536706478767,0.0001857837295035372,0.00755693475213331,0.0002565423019777786,0.00020851213577254414,100.0,50.0,True,True,0.34913275428128454,0.3511831613169656,134.19634490000317,exact_source_row,exact_source_row
